movie_id,language_id
19995,en
19995,es
285,en
206647,fr
206647,en
206647,es
206647,it
206647,de
49026,en
49529,en
559,en
559,fr
38757,en
99861,en
767,en
209112,en
1452,en
1452,fr
1452,de
10764,en
10764,es
10764,it
10764,fr
10764,de
58,en
58,tr
58,el
58,zh
57201,en
49521,en
2454,en
24428,en
1865,en
1865,es
41154,en
122917,en
1930,en
20662,en
20662,th
57158,en
2268,is
2268,en
2268,ru
2268,fr
254,en
597,en
597,fr
597,de
597,sv
597,it
597,ru
271110,ro
271110,en
271110,de
271110,ru
44833,en
44833,th
135397,en
37724,en
558,en
558,ru
558,zh
68721,en
12155,en
36668,en
62211,en
8373,en
8373,es
91314,en
68728,en
102382,en
20526,en
49013,en
49013,ja
49013,it
49013,fr
44912,en
10193,en
10193,es
534,en
534,it
168259,en
72190,en
127585,en
54138,en
81005,en
64682,en
9543,en
68726,en
38356,en
217,en
217,de
217,ru
105864,en
62177,en
188927,en
10681,en
5174,la
5174,en
5174,fr
5174,ja
5174,zh
14161,en
14161,fr
14161,hi
14161,it
14161,la
14161,zh
14161,pt
14161,ru
14161,bo
17979,en
76757,en
258489,en
411,en
411,de
246655,en
155,en
155,zh
14160,en
15512,en
1726,en
1726,fa
1726,ur
1726,ar
44826,en
8487,en
1735,en
1735,zh
1735,sa
297761,en
2698,en
137113,en
9804,en
9804,de
9804,es
14869,en
14869,fr
14869,gd
150540,en
278927,en
10138,en
10138,ru
10138,fr
58595,en
102651,en
119450,en
79698,en
64686,en
64686,ja
100402,en
10192,en
158852,en
177572,en
82690,en
5255,en
47933,en
10191,en
296,en
118340,en
157336,en
27205,en
27205,ja
27205,fr
315011,it
315011,de
315011,en
315011,ja
49051,en
9799,en
4922,en
49538,de
49538,en
49538,es
49538,fr
49538,ru
131634,en
27022,en
503,en
503,es
241259,en
810,fr
68735,en
87101,en
10140,en
676,fr
676,en
676,ja
1858,es
1858,en
1966,en
675,en
674,en
674,fr
8960,en
8960,ja
6479,en
118,en
2062,en
272,en
272,ur
272,zh
10527,en
10527,it
10527,th
18360,en
2080,en
605,en
605,fr
109445,en
604,en
76338,en
76341,en
13448,en
13448,it
13448,la
